Bankleitzahl,Bezeichnung,BIC
10130600,Isbank Fil Berlin,ISBKDEFXBER
10130800,BIW Bank,BIWBDE33XXX
10220500,Bank of Scotland Ndl Berlin,BOFSDEB1XXX
10220600,Sydbank Filiale Berlin,SYBKDE22BER
10310600,Tradegate Wertpapierhandelsbank Berlin,TRDADEBBXXX
12016836,KfW Kreditanstalt für Wiederaufbau,KFWIDEFF100
12030000,Deutsche Kreditbank Berlin,BYLADEM1001
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank,
12030000,Deutsche Kreditbank (Gf P2),
12030900,Merck Finck & Co,MEFIDEMM100
12040000,Commerzbank Berlin Ost,COBADEBB120
12050555,NLB FinanzIT,NOLADE21DVS
12060000,DZ BANK,GENODEFF120
12070000,Deutsche Bank Ld Brandenburg,DEUTDEBB160
12070000,Deutsche Bank,DEUTDEBB172
12070000,Deutsche Bank,DEUTDEBB122
12070000,Deutsche Bank,DEUTDEBB161
12070000,Deutsche Bank,DEUTDEBB180
12070000,Deutsche Bank,DEUTDEBB173
12070000,Deutsche Bank,DEUTDEBB174
12070000,Deutsche Bank,DEUTDEBB182
12070000,Deutsche Bank,DEUTDEBB170
12070000,Deutsche Bank,DEUTDEBB175
12070000,Deutsche Bank,DEUTDEBB187
12070000,Deutsche Bank,DEUTDEBB121
12070000,Deutsche Bank,DEUTDEBB163
12070000,Deutsche Bank,DEUTDEBB123
12070000,Deutsche Bank,DEUTDEBB120
12070000,Deutsche Bank,
12070000,Deutsche Bank,DEUTDEBB166
12070000,Deutsche Bank,DEUTDEBB167
12070000,Deutsche Bank,DEUTDEBB176
12070000,Deutsche Bank,DEUTDEBB177
12070000,Deutsche Bank,DEUTDEBB185
12070000,Deutsche Bank,DEUTDEBB186
12070000,Deutsche Bank,DEUTDEBB189
12070000,Deutsche Bank,DEUTDEBB183
12070000,Deutsche Bank,DEUTDEBB169
12070000,Deutsche Bank,DEUTDEBB124
12070000,Deutsche Bank,DEUTDEBB171
12070000,Deutsche Bank,DEUTDEBB162
12070000,Deutsche Bank,DEUTDEBB181
12070000,Deutsche Bank,DEUTDEBB125
12070000,Deutsche Bank,DEUTDEBB188
12070000,Deutsche Bank,DEUTDEBB164
12070000,Deutsche Bank,DEUTDEBB184
12070000,Deutsche Bank,DEUTDEBB126
12070000,Deutsche Bank,DEUTDEBB178
12070000,Deutsche Bank,DEUTDEBB127
12070000,Deutsche Bank,DEUTDEBB168
12070000,Deutsche Bank,DEUTDEBB165
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB160
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB171
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB172
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB122
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB180
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB173
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB174
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB162
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB182
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB181
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB170
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB175
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB183
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB125
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB187
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB121
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB163
