10000000;BBk Berlin
10010010;Postbank Berlin
10010111;SEB Berlin
10010222;RBS NDL Deutschland
10010424;Aareal Bank
10019610;Dexia Berlin
10020000;Berliner Bank -alt-
10020200;BHF-BANK Berlin
10020400;Citadele Bank München
10020500;Bank für Sozialwirtschaft
10020890;UniCredit Bank-HypoVereinbk
10030200;Berlin Hyp
10030400;ABK-Kreditbank Berlin
10030500;Bankhaus Löbbecke Berlin
10030600;North Channel Bank Mainz
10030700;Gries & Heissel Wiesbaden
10033300;Santander Bank Berlin
10040000;Commerzbank -West- Berlin
10040010;Commerzbank CC SP, Berlin
10040048;Commerzbank BER GF-B48
10040060;Commerzbank Gf 160 Berlin
10040061;Commerzbank Gf 161 Berlin
10040062;Commerzbank CC Berlin
10040063;Commerzbank CC Berlin
10045050;Commerzbank Service-BZ
10050000;Landesbank - Berliner Spk
10050005;Landesbank Berlin - E 1 -
10050006;Landesbank Berlin - E 2 -
10050007;Landesbank Berlin - E 3 -
10050008;Landesbank Berlin - E 4 -
10050020;LBB S-Kreditpartner, Berlin
10050021;LBB S-Kreditpartner HG
10050500;LBS Ost Berlin
10050600;WestLB Berlin
10050999;DekaBank Berlin
10060198;Pax-Bank Berlin
10060237;Ev Darlehnsgenossensch Bln
10061006;KD-Bank Berlin
10070000;Deutsche Bank Fil Berlin
10070024;Deutsche Bank PGK Berlin
10070100;Deutsche Bank Fil Berlin II
10070124;Deutsche Bank PGK Berlin II
10070848;Berliner Bk Ndl Deutsche Bk
10077777;norisbank Berlin
10080000;Commerzbank Fil I Berlin
10080005;Commerzbank Berlin Zw A
10080006;Commerzbank Berlin Zw B
10080055;Commerzbank Zw 55 Berlin
10080057;Commerzbk ZW 57 Berlin
10080085;Commerzbank ITKG3 Berlin
10080086;Commerzbank ITGK4 Berlin
10080087;Commerzbank ITGK5 Berlin
10080088;Commerzbank IBLZ Berlin
10080089;Commerzbank ITGK6 Berlin
10080900;Commerzbk Fil III Berlin
10089260;Commerzbank ITGK Berlin
10089999;Commerzbank ITGK 2 Berlin
10090000;Berliner VB Berlin
10090300;Bk f Schiffahrt BFS Berlin
10090603;apoBank Berlin
10090900;PSD Bank Berlin
10110300;Bankhaus Dr. Masel
10110400;Investitionsbank Berlin
10110600;quirin bank
10120100;Weberbank
10120600;Santander Consumer Bank
10120760;UniCredit exHypo Ndl260 Bln
10120800;VON ESSEN Bank
10120900;readybank
10130600;Isbank Berlin
10130800;BIW Bank
10220600;Sydbank Berlin
10310600;Tradegate Berlin
12016836;KfW Berlin
12030000;Deutsche Kreditbank Berlin
12030900;Merck Finck & Co Berlin
12040000;Commerzbank -Ost- Berlin
12050555;NLB FinanzIT
12060000;DZ BANK
12070000;Deutsche Bank Ld Brandenbg
12070024;Deutsche Bank PGK Brandenbg
